x,y,z,yaw,velocity,change_flag
-60.0446,192.8664,-1.3390,-1.5598,9.0000,0
-60.0262,192.3167,-1.3418,-1.5597,9.0000,0
-59.9966,191.7714,-1.3393,-1.5591,9.0000,0
-59.9969,191.2300,-1.3473,-1.5590,9.0000,0
-59.9858,190.6823,-1.3447,-1.5594,9.0000,0
-59.9595,190.1328,-1.3446,-1.5596,9.0000,0
-59.9389,189.5811,-1.3466,-1.5599,9.0000,0
-59.9239,189.0240,-1.3610,-1.5600,9.0000,0
-59.9047,188.4716,-1.3493,-1.5607,9.0000,0
-59.8776,187.9016,-1.3509,-1.5615,9.0000,0
-59.8650,187.3437,-1.3407,-1.5612,9.0000,0
-59.8549,186.7748,-1.3488,-1.5617,9.0000,0
-59.8261,186.2091,-1.3462,-1.5628,9.0000,0
-59.8196,185.6510,-1.3454,-1.5631,9.0000,0
-59.8132,185.1180,-1.3468,-1.5635,9.0000,0
-59.7899,184.5374,-1.3422,-1.5644,9.0000,0
-59.7770,183.9745,-1.3345,-1.5656,9.0000,0
-59.7614,183.4208,-1.3338,-1.5662,9.0000,0
-59.7584,182.8385,-1.3374,-1.5667,9.0000,0
-59.7458,182.2751,-1.3283,-1.5680,9.0000,0
-59.7296,181.6788,-1.3354,-1.5681,9.0000,0
-59.7014,181.0902,-1.3455,-1.5696,9.0000,0
-59.7011,180.4867,-1.3609,-1.5705,9.0000,0
-59.6801,179.8606,-1.3649,-1.5709,9.0000,0
-59.6414,179.2463,-1.3727,-1.5715,9.0000,0
-59.6475,178.6309,-1.3676,-1.5710,9.0000,0
-59.6276,177.9787,-1.3739,-1.5710,9.0000,0
-59.6228,177.3461,-1.3879,-1.5707,9.0000,0
-59.6143,176.7005,-1.3866,-1.5707,9.0000,0
-59.5944,176.0476,-1.4018,-1.5710,9.0000,0
-59.5821,175.4056,-1.4188,-1.5703,9.0000,0
-59.5664,174.7468,-1.4328,-1.5709,9.0000,0
-59.5500,174.0761,-1.4381,-1.5713,9.0000,0
-59.5261,173.3939,-1.4515,-1.5714,9.0000,0
-59.5273,172.7178,-1.4466,-1.5714,9.0000,0
-59.5257,172.0511,-1.4462,-1.5711,9.0000,0
-59.4943,171.3571,-1.4504,-1.5705,9.0000,0
-59.4929,170.6739,-1.4492,-1.5699,9.0000,0
-59.4743,169.9812,-1.4500,-1.5697,9.0000,0
-59.4580,169.2852,-1.4568,-1.5684,9.0000,0
-59.4461,168.6056,-1.4643,-1.5678,9.0000,0
-59.4274,167.9047,-1.4649,-1.5674,9.0000,0
-59.3996,167.1706,-1.4601,-1.5664,9.0000,0
-59.3939,166.4799,-1.4576,-1.5661,9.0000,0
-59.3705,165.7694,-1.4669,-1.5657,9.0000,0
-59.3582,165.0610,-1.4669,-1.5659,9.0000,0
-59.3568,164.3640,-1.4735,-1.5659,9.0000,0
-59.3256,163.6431,-1.4678,-1.5659,9.0000,0
-59.3045,162.9265,-1.4728,-1.5662,9.0000,0
-59.2915,162.2255,-1.4815,-1.5666,9.0000,0
-59.2768,161.4814,-1.4872,-1.5671,9.0000,0
-59.2597,160.7703,-1.4901,-1.5674,9.0000,0
-59.2448,160.0278,-1.5032,-1.5679,9.0000,0
-59.2120,159.3007,-1.5037,-1.5677,9.0000,0
-59.2109,158.5955,-1.5092,-1.5682,9.0000,0
-59.1822,157.8512,-1.5152,-1.5679,9.0000,0
-59.1628,157.1276,-1.5184,-1.5679,9.0000,0
-59.1614,156.4106,-1.5185,-1.5682,9.0000,0
-59.1286,155.6732,-1.5132,-1.5679,9.0000,0
-59.1149,154.9394,-1.5187,-1.5679,9.0000,0
-59.1007,154.2051,-1.5160,-1.5679,9.0000,0
-59.0773,153.4709,-1.5075,-1.5678,9.0000,0
-59.0578,152.7423,-1.5090,-1.5676,9.0000,0
-59.0489,152.0002,-1.5143,-1.5676,9.0000,0
-59.0218,151.2605,-1.5022,-1.5673,9.0000,0
-59.0089,150.5378,-1.5045,-1.5671,9.0000,0
-58.9908,149.7800,-1.4916,-1.5669,9.0000,0
-58.9800,149.0399,-1.4804,-1.5661,9.0000,0
-58.9771,148.2939,-1.4805,-1.5670,9.0000,0
-58.9321,147.5661,-1.4710,-1.5667,9.0000,0
-58.9053,146.8429,-1.4729,-1.5675,9.0000,0
-58.9046,146.1290,-1.4670,-1.5668,9.0000,0
-58.8741,145.4142,-1.4604,-1.5674,9.0000,0
-58.8642,144.7150,-1.4544,-1.5672,9.0000,0
-58.8548,144.0168,-1.4461,-1.5671,9.0000,0
-58.8378,143.3203,-1.4183,-1.5677,9.0000,0
-58.8245,142.6253,-1.4166,-1.5678,9.0000,0
-58.8202,141.9393,-1.4043,-1.5676,9.0000,0
-58.7924,141.2503,-1.4056,-1.5681,9.0000,0
-58.7839,140.5692,-1.3878,-1.5680,9.0000,0
-58.7711,139.8684,-1.3788,-1.5681,9.0000,0
-58.7551,139.2128,-1.3831,-1.5683,9.0000,0
-58.7251,138.5238,-1.3924,-1.5686,9.0000,0
-58.7108,137.8564,-1.3806,-1.5687,9.0000,0
-58.6954,137.1890,-1.3932,-1.5686,9.0000,0
-58.6847,136.5139,-1.3890,-1.5688,9.0000,0
-58.6757,135.8263,-1.3739,-1.5688,9.0000,0
-58.6403,135.1585,-1.3671,-1.5686,9.0000,0
-58.6333,134.4884,-1.3657,-1.5685,9.0000,0
-58.6258,133.8124,-1.3660,-1.5686,9.0000,0
-58.6005,133.1615,-1.3521,-1.5683,9.0000,0
-58.5849,132.5023,-1.3449,-1.5687,9.0000,0
-58.5842,131.8384,-1.3369,-1.5686,9.0000,0
-58.5547,131.1962,-1.3356,-1.5690,9.0000,0
-58.5285,130.5441,-1.3178,-1.5689,9.0000,0
-58.5335,129.8787,-1.3150,-1.5691,9.0000,0
-58.4922,129.1979,-1.3037,-1.5705,9.0000,0
-58.4792,128.5098,-1.3038,-1.5705,9.0000,0
-58.4857,127.8326,-1.3027,-1.5711,9.0000,0
-58.4560,127.2020,-1.3061,-1.5715,9.0000,0
-58.4406,126.5446,-1.2952,-1.5708,9.0000,0
-58.4351,125.8635,-1.2989,-1.5708,9.0000,0
-58.4200,125.2131,-1.2804,-1.5701,9.0000,0
-58.4085,124.5826,-1.2772,-1.5696,9.0000,0
-58.4100,123.9559,-1.2899,-1.5690,9.0000,0
-58.3875,123.3725,-1.2811,-1.5697,9.0000,0
-58.3632,122.7883,-1.2910,-1.5701,9.0000,0
-58.3666,122.2179,-1.2855,-1.5705,9.0000,0
-58.3713,121.6560,-1.2786,-1.5706,9.0000,0
-58.3527,121.1059,-1.2707,-1.5705,9.0000,0
-58.3386,120.5463,-1.2657,-1.5701,5.0000,0
-58.3385,119.9937,-1.2716,-1.5701,5.0000,0
-58.3210,119.4693,-1.2776,-1.5698,5.0000,0
-58.2965,118.9542,-1.2788,-1.5698,5.0000,0
-58.3031,118.4409,-1.2710,-1.5698,5.0000,0
-58.2877,117.9358,-1.2766,-1.5700,5.0000,0
-58.2754,117.4356,-1.2761,-1.5694,5.0000,0
-58.2576,116.9314,-1.2694,-1.5690,5.0000,0
-58.2486,116.1984,-1.2695,-1.5689,5.0,0
-58.2405,115.4750,-1.2718,-1.5693,5.0,0
-58.2069,114.7617,-1.2641,-1.5692,5.0,0
-58.2008,114.0712,-1.2650,-1.5692,5.0,0
-58.1726,113.4005,-1.2611,-1.5690,5.0,0
-57.8974,115.5049,-1.2743,-1.5692,5.0,0
-57.8854,114.9835,-1.2684,-1.5722,5.0,0
-57.8696,114.4025,-1.2630,-1.5747,5.0,0
-57.8656,113.8562,-1.2583,-1.5768,5.0,0
-57.8551,113.3541,-1.2611,-1.5771,5.0,0
-57.8455,112.7787,-1.2588,-1.5772,5.0,0
-57.8375,112.1454,-1.2581,-1.5769,5.0,0
-57.8306,111.6378,-1.2672,-1.5765,5.0,0
-57.8290,111.0953,-1.2616,-1.5752,7.0,0
-57.8065,110.5358,-1.2552,-1.5732,7.0,0
-57.7930,109.9615,-1.2628,-1.5708,7.0,0
-57.7860,109.3786,-1.2560,-1.5694,7.0,0
-57.7642,108.7773,-1.2488,-1.5670,7.0,0
-57.7566,108.1622,-1.2409,-1.5641,7.0,0
-57.7324,107.5393,-1.2574,-1.5612,7.0,0
-57.7012,106.9139,-1.2446,-1.5575,7.0,0
-57.6845,106.2797,-1.2408,-1.5521,7.0,0
-57.6600,105.6481,-1.2354,-1.5467,7.0,0
-57.6172,105.0301,-1.2409,-1.5418,7.0,0
-57.5918,104.3780,-1.2461,-1.5363,7.0,0
-57.5650,103.7483,-1.2504,-1.5293,7.0,0
-57.5278,103.1124,-1.2411,-1.5218,7.0,0
-57.4816,102.4769,-1.2344,-1.5142,7.0,0
-57.4274,101.8537,-1.2338,-1.5064,7.0,0
-57.3752,101.2259,-1.2237,-1.4985,7.0,0
-57.3069,100.6134,-1.2109,-1.4914,7.0,0
-57.2574,100.0134,-1.2173,-1.4841,7.0,0
-57.1827,99.3919,-1.2006,-1.4785,7.0,0
-57.1124,98.7581,-1.1953,-1.4732,7.0,0
-57.0290,98.0904,-1.1955,-1.4674,7.0,0
-56.9599,97.4296,-1.1706,-1.4623,7.0,0
-56.8592,96.7864,-1.1749,-1.4566,7.0,0
-56.7711,96.1338,-1.1645,-1.4534,7.0,0
-56.6781,95.4913,-1.1769,-1.4514,7.0,0
-56.5849,94.8187,-1.1495,-1.4506,7.0,0
-56.4940,94.1699,-1.1427,-1.4510,7.0,0
-56.4131,93.5328,-1.1242,-1.4519,7.0,0
-56.3104,92.8859,-1.1049,-1.4521,7.0,0
-56.2213,92.2518,-1.1019,-1.4516,7.0,0
-56.1383,91.6091,-1.0896,-1.4504,7.0,0
-56.0448,90.9678,-1.0701,-1.4491,7.0,0
-55.9500,90.3090,-1.0553,-1.4469,7.0,0
-55.8606,89.6820,-1.0405,-1.4454,7.0,0
-55.7595,89.0429,-1.0255,-1.4460,7.0,0
-55.6729,88.4082,-1.0064,-1.4469,7.0,0
-55.5851,87.7758,-0.9882,-1.4486,7.0,0
-55.4988,87.1432,-0.9660,-1.4507,7.0,0
-55.3989,86.4922,-0.9478,-1.4531,7.0,0
-55.3158,85.8311,-0.9307,-1.4554,7.0,0
-55.2278,85.1628,-0.9088,-1.4581,7.0,0
-55.1344,84.4624,-0.8856,-1.4606,7.0,0
-55.0313,83.7507,-0.8834,-1.4637,7.0,0
-54.9455,83.0553,-0.8512,-1.4671,7.0,0
-54.8523,82.3473,-0.8313,-1.4693,7.0,0
-54.7378,81.6395,-0.8260,-1.4730,7.0,0
-54.6599,80.9230,-0.8022,-1.4753,7.0,0
-54.5662,80.1982,-0.7790,-1.4790,7.0,0
-54.4947,79.4799,-0.7411,-1.4823,7.0,0
-54.4325,78.7840,-0.7332,-1.4871,7.0,0
-54.3473,78.0461,-0.7026,-1.4913,7.0,0
-54.2922,77.5411,-0.6593,-1.4945,7.0,0
-54.2315,76.8086,-0.6122,-1.4986,7.0,0
-54.1632,76.0828,-0.5707,-1.5019,7.0,0
-54.1170,75.5743,-0.5399,-1.5046,7.0,0
-54.0580,74.8632,-0.4935,-1.5082,7.0,0
-54.0057,74.1817,-0.4307,-1.5108,7.0,0
-53.9499,73.5079,-0.4041,-1.5140,7.0,0
-53.8900,72.8251,-0.3416,-1.5168,7.0,0
-53.8307,72.1571,-0.2875,-1.5196,7.0,0
-53.7953,71.4874,-0.2547,-1.5229,7.0,0
-53.7395,70.8186,-0.2211,-1.5265,7.0,0
-53.6866,70.1444,-0.1813,-1.5296,7.0,0
-53.6620,69.4784,-0.1370,-1.5323,7.0,0
-53.6117,68.8242,-0.0878,-1.5358,7.0,0
-53.5911,68.1815,-0.0546,-1.5384,7.0,0
-53.5667,67.4956,-0.0165,-1.5417,7.0,0
-53.5308,66.8213,0.0249,-1.5450,7.0,0
-53.5055,66.1605,0.0585,-1.5474,7.0,0
-53.4714,65.4631,0.1046,-1.5500,7.0,0
-53.4444,64.7939,0.1446,-1.5534,7.0,0
-53.4154,64.1451,0.1969,-1.5566,7.0,0
-53.3928,63.4746,0.2416,-1.5593,7.0,0
